Feature,ImportanceMean,ImportanceStd
age_scaled,0.016997290377109897,0.00225540738511869
ajcc_pathologic_tumor_stage_encoded,0.011353319909513493,0.0013833181084936049
cancer type abbreviation_encoded,0.01107092251472892,0.0017894812889455154
PCA_22,0.005468093568995924,0.0011869287118410627
PCA_4,0.0053942625599721515,0.0008713577269818701
PCA_21,0.005031695130136471,0.00125602311383509
PCA_15,0.004842643000969505,0.0013390820988856131
PCA_7,0.0036850871305342146,0.0008171251738397162
PCA_16,0.0034709274865140417,0.0012772747540474132
PCA_29,0.003228180078057019,0.0007922912033962889
PCA_28,0.00320108384915605,0.0004961396285447027
PCA_27,0.0026057125811022484,0.0005602733085814151
histological_type_encoded,0.0023577447982698007,0.0011358850012455892
PCA_12,0.002252467248365542,0.0003712831793979767
PCA_1,0.0021892012827205544,0.0005314746001091748
PCA_6,0.001786362393417351,0.0005121719376862987
PCA_10,0.0017193675889328075,0.0008498368395589823
PCA_2,0.0016307455191786446,0.00045844738656022145
PCA_13,0.0015894797026872465,0.0007910408942118976
PCA_14,0.0015405076192607004,0.0004483792219614788
PCA_17,0.001268675267854924,0.00043949675303303984
PCA_20,0.0012454321724215123,0.00034895016743534364
PCA_5,0.0010868322271111563,0.0005629663620225452
PCA_19,0.001075894299848368,0.0005265224312751141
PCA_39,0.0010583687573023192,0.0002836708684045939
PCA_68,0.001052029731275006,0.0003728690511712659
PCA_8,0.0009437691102990753,0.0003986878990036709
PCA_23,0.0008258135083401563,0.0001630451808775478
gender_encoded,0.0007512367315484547,0.00034158425242824256
PCA_72,0.0006087950878762904,0.00016645069540374623
PCA_3,0.0005772242523678029,0.00045864387620736
PCA_31,0.0005467720685111921,0.00012336196430262178
PCA_9,0.0005436647028115415,0.00029208507667263236
PCA_30,0.0005181843040743761,0.00014173888186099962
PCA_78,0.0005166927685385403,0.00017363479071343476
PCA_113,0.000503890421855957,0.00030534421808328796
PCA_18,0.00039326820294824925,0.00038937013753446385
PCA_58,0.0003892907748527019,0.0003237691594016895
PCA_2731,0.00038866930171277403,0.00013319264099260372
PCA_114,0.00036865786660701395,0.00015758892329914171
PCA_199,0.00035150520794492436,0.00011676261433923003
PCA_49,0.0003392000397742678,0.00011828833134258973
PCA_47,0.00032639769309169566,0.00023592233647215258
PCA_80,0.0003066348472418823,0.00017330437911195623
PCA_41,0.0003017873567504381,0.00023226392741933227
PCA_305,0.00028326745718050273,0.0001214651087800258
PCA_1800,0.0002723295299177031,8.488777123851674e-05
PCA_1098,0.0002722052352897242,0.0001372226203186549
PCA_1874,0.0002695950481020226,0.00010964230560278078
PCA_1548,0.0002658662092624442,9.129429849113612e-05
PCA_24,0.0002644989683545873,0.00011120278534442785
PCA_51,0.0002582842369552751,0.000120291002716197
PCA_11,0.00025815994232727404,0.00027890786726139633
PCA_316,0.00025554975513959467,0.00015237852253620774
PCA_73,0.00025132373778807837,0.0001761363205413031
PCA_100,0.0002500807915081893,0.00016982740314666544
PCA_295,0.00024249881920103135,9.484494593003583e-05
PCA_176,0.00024200164068909346,0.00012984958119999953
PCA_26,0.00023976433738533975,0.00011966345484358816
PCA_1462,0.00023889427498943183,0.0002005337340800967
PCA_44,0.00023653267705771032,7.452921893258504e-05
